Department,Salary,Rating,Group
Operations,78279.88960135946,4,Mid
Operations,68305.19227148482,3,Senior
Operations,78816.3968614008,1,Mid
Operations,65673.45970750198,1,Entry
Operations,63913.61076482293,3,Mid
Operations,55710.66911564328,1,Mid
Operations,66211.41058978236,4,Mid
Operations,69768.53302950537,3,Mid
Operations,110725.70297598818,4,Entry
Operations,87408.54161486134,1,Mid
Operations,85865.3176689852,3,Entry
Operations,75917.34689903568,3,Mid
Operations,79364.47095206165,1,Mid
Operations,67394.87011094917,2,Entry
Operations,78633.70475897437,3,Mid
Operations,46183.488703005554,4,Senior
Operations,69492.62220069204,4,Mid
Operations,72249.98484748823,3,Senior
Operations,86339.94079165375,1,Mid
Operations,76301.46308368481,1,Senior
Operations,63055.10032005724,4,Mid
Operations,77517.19867013684,3,Mid
Operations,66664.54984407163,3,Mid
Operations,79019.0517806182,4,Mid
Operations,54765.72398541361,2,Mid
Operations,70372.96000185143,2,Entry
Operations,52094.38408769315,2,Mid
Operations,67448.06484148413,1,Mid
Operations,45379.93658119338,4,Mid
Operations,63763.81175023076,5,Mid
Operations,92866.28782160215,2,Mid
Operations,62720.92460009882,1,Mid
Operations,78955.34230604241,5,Entry
Operations,93333.4156253226,2,Entry
Operations,83615.36988436733,3,Senior
Operations,69520.93121088749,3,Mid
Operations,38914.30885685532,2,Mid
Operations,85766.48113687235,3,Entry
Operations,83567.37055225183,4,Mid
Operations,83451.77898593248,2,Mid
Operations,56746.54934489749,2,Mid
Operations,95450.6477030751,1,Mid
Operations,64695.953730836234,1,Mid
Operations,95889.82332426077,1,Mid
Operations,61527.85683242194,4,Senior
Operations,62721.01950913797,4,Mid
Operations,53250.366023974406,2,Senior
Operations,70265.08126497775,1,Entry
Operations,59822.94718486842,5,Mid
Operations,87157.462487254,3,Entry
Operations,70913.84975094469,1,Mid
Operations,93505.8641750429,5,Mid
Operations,73751.74694649012,4,Entry
Operations,92243.86034547939,1,Mid
Operations,81691.59543761861,5,Senior
Operations,60962.09666816447,2,Senior
Operations,58161.21091574635,2,Entry
Operations,72261.12183328433,4,Mid
Operations,81704.69334181881,2,Mid
Operations,84983.77414600195,4,Mid
Operations,75722.86744417826,4,Mid
Operations,59775.46751523436,1,Entry
Operations,73929.87454064483,5,Entry
Operations,87768.68672594117,3,Mid
Operations,108360.6716803245,4,Entry
Operations,99564.78762598682,2,Entry
Operations,95944.9591116228,4,Mid
Operations,75774.3975421563,2,Entry
Operations,86997.09439230234,2,Mid
Operations,49508.71582353476,5,Mid
Operations,92047.05762550556,2,Mid
Operations,61312.38338408947,2,Senior
Operations,77513.55158701485,5,Mid
Operations,92433.893962585,4,Mid
Operations,69767.95267690538,1,Entry
Operations,45627.36856675481,5,Entry
Operations,64651.26032956613,3,Mid
Operations,75626.60486047369,3,Mid
Operations,83672.8784258338,1,Mid
Operations,82863.00312614204,5,Mid
Operations,77349.8033490561,1,Mid
Operations,68713.83141084532,1,Entry
Operations,72644.44964111055,2,Senior
Operations,102801.16196849743,2,Senior
Operations,84131.03383686625,2,Mid
Operations,66643.04141141653,4,Senior
Operations,86432.2757047805,5,Mid
Operations,68195.41726624854,2,Senior
Operations,69000.26958256635,3,Mid
Operations,59547.866021657566,3,Senior
Operations,55039.42303003611,5,Mid
Operations,42330.48401707968,4,Entry
Operations,91381.54441529,1,Senior
Operations,52853.04537567297,2,Entry
Operations,78039.96246695193,2,Mid
Operations,78603.03642845934,5,Mid
Operations,62478.37231059915,5,Mid
Operations,68028.08694122575,5,Mid
Operations,56255.003280754056,3,Mid
Operations,57097.53838650709,2,Entry
Operations,103282.15081899436,5,Mid
Operations,73009.58667709393,1,Entry
Operations,92379.15550112553,3,Senior
Operations,76748.43523862917,4,Mid
Operations,75508.54085523506,5,Mid
Operations,57143.88396488265,5,Senior
Operations,72438.80040752538,2,Entry
Operations,38906.427734851546,2,Mid
Operations,53149.77838013877,3,Senior
Operations,68676.08906163595,3,Entry
Operations,81278.59328986732,5,Entry
Operations,80393.03915276803,3,Senior
Operations,56469.37639309671,4,Mid
Operations,97848.40060768259,3,Mid
Operations,72359.28755959573,4,Mid
Operations,77948.35166549373,4,Mid
Operations,57502.31537338665,1,Mid
Operations,98205.75178358104,2,Mid
Operations,72684.39697914106,3,Entry
Operations,62086.32704109963,1,Mid
Operations,91352.7520653067,2,Mid
Operations,63778.55903067529,5,Senior
Operations,80840.13591329605,4,Entry
Operations,87393.74134009235,1,Mid
Operations,69399.47362495374,3,Senior
Operations,67497.03274356006,2,Entry
Operations,89991.8678264307,3,Mid
Operations,73767.58671215025,3,Mid
Operations,101103.96650569378,1,Senior
Operations,64333.33778170418,4,Entry
Logistics,73071.80560122065,4,Mid
Logistics,65224.873167653765,1,Mid
Logistics,80813.97492318542,4,Mid
Logistics,62597.031658952576,1,Senior
Logistics,67745.74290666846,5,Mid
Logistics,87626.71162176019,5,Senior
Logistics,63197.900146554224,4,Mid
Logistics,63232.55891415697,1,Mid
Logistics,88156.23106864178,1,Entry
Logistics,83437.26350444404,3,Mid
Logistics,96690.3382508471,5,Mid
Logistics,60013.20541259354,5,Entry
Logistics,57819.45540061324,1,Senior
Logistics,87026.40846532465,2,Entry
Logistics,91779.48501231318,1,Senior
Logistics,75195.65061565429,3,Mid
Logistics,79968.28918107793,1,Mid
Logistics,99272.88734158616,3,Mid
Logistics,72593.70927036979,3,Mid
Logistics,112513.50746901422,4,Mid
Logistics,81607.79409571375,2,Entry
Logistics,61215.46318417833,1,Mid
Logistics,68777.62937591206,5,Mid
Logistics,84652.57761078168,1,Entry
Logistics,72410.56298563749,4,Mid
Logistics,84580.15709820451,1,Entry
Logistics,93848.53652590472,1,Senior
Logistics,72000.1727486616,1,Mid
Logistics,78148.73300975237,1,Mid
Logistics,71043.97443552979,1,Senior
Logistics,105271.16074076731,5,Entry
Logistics,78458.05691742456,3,Mid
Logistics,77119.36541110654,1,Entry
Logistics,73713.35227241526,4,Senior
Logistics,84663.03916044235,4,Mid
Logistics,66192.54600322028,1,Mid
Logistics,62406.91144348995,4,Mid
Logistics,93254.53294021981,4,Entry
Logistics,76269.59667814821,3,Mid
Logistics,68420.78218160624,2,Entry
Logistics,63692.06829463558,4,Mid
Logistics,80739.80327216237,5,Senior
Logistics,53346.64448724412,2,Mid
Logistics,85303.1283480434,2,Senior
Logistics,99297.19851363482,3,Mid
Logistics,65727.40256479103,5,Mid
Logistics,77756.99059490145,4,Entry
Logistics,68784.15312052151,5,Entry
Logistics,90579.09103813225,2,Entry
Logistics,76397.37506549613,1,Entry
Logistics,60953.30922526486,3,Mid
Logistics,57242.36038422496,2,Mid
Logistics,60900.482562749006,2,Senior
Logistics,82149.76561200836,5,Mid
Logistics,62836.59095699625,3,Mid
Logistics,80502.21064928164,5,Mid
Logistics,78070.0265683509,3,Mid
Logistics,73334.79806802358,5,Entry
Logistics,90703.84109483828,4,Senior
Logistics,55444.130534624004,2,Entry
Logistics,76122.91959375044,4,Entry
Logistics,94779.2688932921,4,Mid
Logistics,101589.10002471312,3,Mid
Logistics,56672.893602548036,3,Mid
Logistics,80658.52753638983,2,Entry
Logistics,66874.05880125158,5,Senior
Logistics,91411.76188626506,2,Entry
Logistics,66801.35531630313,2,Senior
Logistics,66117.21057054281,4,Mid
Logistics,105877.37932234333,1,Senior
Logistics,68938.50976694124,4,Entry
Logistics,63045.16002379669,3,Mid
Logistics,75577.47728542908,2,Senior
Logistics,39175.61323873231,3,Mid
Logistics,55215.47252546234,3,Mid
Logistics,75301.59700303647,1,Entry
Logistics,49385.25925312173,3,Mid
Logistics,71238.72852332503,2,Senior
Logistics,73732.16536474315,3,Mid
Logistics,46845.099068233714,2,Senior
Logistics,70928.46996656418,5,Mid
Logistics,77892.11757595484,4,Entry
Logistics,81634.9246649849,5,Entry
Logistics,75681.64098498331,5,Senior
Logistics,84314.05484721658,2,Entry
Logistics,68638.9529333537,2,Mid
Logistics,84090.28708282473,4,Mid
Logistics,69950.44375706918,3,Mid
Logistics,82527.88785593287,2,Senior
Logistics,65046.464129809014,4,Mid
Logistics,87851.06132205688,2,Entry
Logistics,80970.72324763893,4,Senior
Logistics,71734.71510748308,3,Mid
Logistics,80764.18252478927,1,Entry
Logistics,50643.92126824155,1,Mid
Logistics,69451.34295814279,5,Mid
Logistics,70705.97919592101,3,Mid
Logistics,77501.40779834142,2,Mid
Logistics,76526.26576157458,2,Mid
Logistics,80001.13518589069,2,Mid
Logistics,97634.10396360318,1,Mid
Logistics,69125.53342189708,1,Entry
Logistics,80075.3616290394,1,Mid
Logistics,60111.329899067656,1,Senior
Logistics,76138.36557781162,4,Mid
Logistics,84339.9479091772,1,Entry
Logistics,91415.99695624711,3,Entry
Logistics,101730.06880498081,4,Mid
Logistics,53542.80653418793,5,Senior
Logistics,88513.93851375814,4,Entry
Logistics,88048.07426431848,2,Mid
Logistics,60157.38262716768,2,Entry
Logistics,97549.83748232627,3,Mid
Customer Service,70155.76757491278,5,Senior
Customer Service,60963.30426200256,1,Entry
Customer Service,78945.22022654623,1,Mid
Customer Service,55184.59374872108,3,Entry
Customer Service,68398.70579621059,2,Mid
Customer Service,70044.92925596342,1,Entry
Customer Service,71751.22815352408,3,Mid
Customer Service,56511.89533169579,4,Entry
Customer Service,64732.62404080805,1,Mid
Customer Service,72928.76498007777,1,Mid
Customer Service,83867.041768859,3,Mid
Customer Service,102765.81265274649,3,Mid
Customer Service,71074.48509276245,1,Entry
Customer Service,78358.78649630392,1,Senior
Customer Service,67034.44574073475,2,Entry
Customer Service,87836.38151346124,3,Senior
Customer Service,55893.92579268886,1,Mid
Customer Service,76907.8340813568,3,Entry
Customer Service,73144.69029898464,3,Mid
Customer Service,63284.86584677723,2,Entry
Customer Service,78898.24852378947,1,Entry
Customer Service,38470.31502325668,3,Mid
Customer Service,85262.44812913431,3,Mid
Customer Service,102513.03053784411,3,Entry
Customer Service,83975.97011430628,3,Entry
Customer Service,102918.86060970793,5,Entry
Customer Service,60805.86552404954,4,Mid
Customer Service,71058.25557074073,2,Mid
Customer Service,78317.63968094187,1,Mid
Customer Service,59616.14021044331,5,Mid
Customer Service,80546.11203960545,3,Mid
Customer Service,53151.180401109545,5,Entry
Customer Service,102987.66828427906,5,Mid
Customer Service,86904.07204889391,3,Entry
Customer Service,81146.07949153638,4,Entry
Customer Service,59818.838359053436,4,Mid
Customer Service,106434.72326205675,5,Entry
Customer Service,94480.46100475376,4,Mid
Customer Service,113963.75104058645,2,Mid
Customer Service,69977.95518833247,5,Mid
Customer Service,48091.18330212055,3,Entry
Customer Service,72620.23224796481,5,Entry
Customer Service,78263.69304514444,4,Entry
Customer Service,65466.88351776665,2,Mid
Customer Service,78124.83762938388,3,Senior
Customer Service,65277.162793989846,5,Entry
Customer Service,82636.88992575157,5,Senior
Customer Service,104388.15540167705,3,Senior
Customer Service,68133.54321853041,4,Senior
Customer Service,73849.52703856991,1,Senior
Customer Service,77952.65280252945,1,Senior
Customer Service,54141.07708601914,5,Senior
Customer Service,53292.39609388399,4,Mid
Customer Service,51432.714733231755,5,Mid
Customer Service,91222.71129449611,1,Mid
Customer Service,86942.36099063174,2,Mid
Customer Service,81710.29009005272,5,Mid
Customer Service,61593.80971374428,4,Entry
Customer Service,69180.52546638822,5,Mid
Customer Service,63226.8563046356,5,Senior
Customer Service,101590.37491349873,5,Senior
Customer Service,71476.13592718539,5,Entry
Customer Service,61597.273612210796,4,Senior
Customer Service,69022.3962317623,4,Mid
Customer Service,82292.5686219881,5,Entry
Customer Service,77445.99515828367,2,Mid
Customer Service,59062.38636734549,2,Mid
Customer Service,66617.18836123504,5,Entry
Customer Service,65448.24127600926,2,Mid
Customer Service,66500.52113070837,4,Mid
Customer Service,87687.59436365089,1,Entry
Customer Service,76543.76085784855,3,Senior
Customer Service,40289.33900999842,2,Mid
IT,60635.5222878037,1,Mid
IT,89201.4985185987,5,Entry
IT,75016.64917030939,5,Mid
IT,51833.49227627633,4,Senior
IT,67071.93861573451,1,Entry
IT,87632.63347723302,4,Senior
IT,64251.39767363842,4,Mid
IT,87143.91653957829,3,Mid
IT,92514.20922031281,1,Mid
IT,75028.61118415362,5,Mid
IT,51767.642430589505,2,Senior
IT,78705.21908049441,3,Mid
IT,55140.58130105394,5,Senior
IT,60592.18923616482,1,Senior
IT,73369.68425120022,4,Mid
IT,69325.85183133888,1,Mid
IT,99799.64455767797,3,Mid
IT,84346.31021833642,3,Mid
IT,104870.55627625357,2,Senior
IT,80893.70265822325,1,Entry
IT,81524.11557551847,3,Senior
IT,69090.19978135319,1,Entry
IT,89080.8542435724,2,Mid
IT,56652.91778385865,1,Senior
IT,78517.36076967813,1,Entry
IT,78446.4583077856,3,Entry
IT,66547.77779112836,5,Mid
IT,74502.6700042501,1,Senior
IT,65532.924868049464,3,Mid
IT,79095.5716224937,1,Mid
IT,59962.25595653919,2,Senior
IT,69606.44672944785,3,Mid
IT,50466.31459775628,3,Senior
IT,89519.1826971141,3,Entry
IT,91072.73903371558,3,Entry
IT,52401.98954714401,1,Senior
IT,72989.10669277306,5,Entry
IT,68673.68292585904,1,Mid
IT,65760.65709729871,2,Mid
IT,59644.03719379245,2,Entry
IT,87303.48597458977,4,Entry
IT,87259.5930560749,5,Entry
IT,81953.31644997964,5,Entry
IT,85757.46791540705,1,Mid
IT,70546.9113096389,5,Mid
IT,92625.35372941257,5,Mid
IT,86241.1067216262,1,Senior
IT,75326.28276023941,5,Entry
IT,96967.70325400284,3,Entry
IT,106505.44919977977,2,Mid
IT,58121.026652885106,1,Mid
IT,58597.01570310491,4,Senior
IT,83646.77017683635,1,Mid
IT,52371.660476807156,3,Senior
IT,70703.49722241421,5,Senior
IT,82257.80104446184,5,Entry
IT,102132.92066839416,4,Mid
IT,83411.54023522751,4,Mid
IT,64786.959358533524,2,Entry
IT,46827.31500702244,5,Entry
IT,63100.58502222932,5,Senior
IT,81492.66830775415,2,Mid
IT,86192.60457118566,3,Mid
IT,76751.59649991897,3,Mid
IT,57849.91513374209,1,Senior
IT,76312.10630521108,5,Senior
IT,84368.73463975865,4,Entry
IT,58484.50371174534,2,Senior
IT,66060.8895402364,5,Mid
IT,73911.22184396572,1,Entry
IT,94752.83489429847,4,Mid
IT,71603.74902982108,2,Mid
IT,83279.46388997741,2,Entry
IT,69838.529576065,5,Mid
IT,89253.85790802813,1,Mid
IT,94072.86221480908,3,Entry
IT,75483.81343591436,5,Senior
IT,102249.0924533321,5,Mid
IT,91348.57438636245,3,Mid
IT,66432.2403887372,2,Mid
IT,42913.28813353724,5,Entry
IT,72810.93845830047,1,Mid
IT,84851.10815746013,1,Entry
IT,77351.39283548815,1,Entry
IT,64239.11754510853,5,Senior
IT,69831.2019639805,4,Senior
IT,72621.93461375315,5,Mid
IT,61229.714075415526,2,Senior
IT,77151.3985028624,2,Mid
IT,88072.86579131901,2,Mid
IT,71098.46325260255,4,Entry
IT,55487.35539565503,4,Mid
IT,80062.23112089599,1,Entry
IT,71050.38289683126,1,Mid
IT,53221.744867473775,5,Entry
IT,67654.57244777642,2,Mid
IT,68162.3268925457,2,Entry
IT,83623.80773707197,4,Entry
IT,55832.27524405301,4,Entry
IT,86179.17495114519,3,Entry
IT,46303.25753482968,1,Senior
IT,97115.55107994011,2,Entry
IT,75608.37652307778,1,Mid
IT,71053.42843462189,4,Entry
IT,56043.46384169186,2,Senior
IT,54441.61436899486,3,Mid
IT,90438.3874386884,5,Mid
IT,51155.088420503846,4,Entry
IT,54587.61328045948,2,Mid
IT,47940.481508782446,1,Mid
IT,71108.24225086006,3,Entry
IT,117761.66135804614,3,Senior
IT,115246.84825075333,1,Mid
IT,64716.13704706413,3,Mid
IT,92989.49359382378,5,Senior
IT,74515.84658846073,4,Entry
IT,77895.1228549807,3,Mid
IT,89469.0263595554,5,Mid
IT,73681.98816105623,1,Senior
IT,71848.66778839259,4,Mid
IT,71673.27894425797,3,Mid
IT,89540.5395361208,1,Mid
IT,70485.92896357623,5,Entry
IT,97810.29368448968,4,Entry
IT,81560.21898911711,4,Mid
IT,74113.78402072402,1,Entry
IT,65926.39854107737,4,Mid
IT,82466.82464126666,5,Senior
IT,74060.44343146043,3,Mid
IT,67081.3141097053,5,Senior
IT,104377.47602818492,1,Entry
IT,87571.15452122512,1,Senior
IT,84409.36801928194,2,Senior
IT,91675.4780346616,2,Mid
IT,105525.13664002184,4,Senior
IT,80373.09950805562,3,Entry
IT,69564.78663680847,4,Senior
IT,86127.3344158519,5,Entry
IT,84661.15611687674,5,Senior
IT,77308.3666722214,3,Entry
IT,71411.09692995816,1,Mid
IT,85061.15738149332,2,Entry
IT,81956.34191596595,3,Mid
IT,93354.49406344598,4,Mid
IT,88773.73880594404,5,Mid
IT,67810.67644142782,5,Entry
IT,83532.71414202651,3,Mid
IT,78857.92278342022,1,Senior
IT,54323.11340681666,1,Mid
IT,85955.16270827649,1,Mid
IT,65754.5185622649,2,Entry
IT,79283.33834310596,4,Mid
IT,87917.76806645672,3,Entry
IT,58802.90748460256,4,Senior
IT,83041.81496526186,2,Senior
IT,38226.95408386684,2,Mid
IT,65100.24681504558,4,Mid
IT,63372.49434613448,1,Entry
IT,92939.64693725556,5,Mid
IT,69835.18197345005,3,Mid
IT,55760.558521095896,5,Senior
IT,85756.18555494247,5,Entry
IT,85363.66436088289,2,Mid
IT,68327.89742744264,1,Mid
IT,79121.15209535848,5,Mid
IT,68285.74265868895,3,Mid
IT,67447.08081969133,3,Entry
IT,101141.95850714513,4,Mid
IT,65414.015858225495,4,Mid
IT,93530.75841182844,4,Senior
IT,72313.04360541592,3,Senior
IT,59760.469545478336,1,Entry
IT,85106.35431750913,4,Mid
IT,66735.26416401645,2,Entry
IT,69817.0819009095,1,Entry
IT,77591.73933537368,2,Mid
IT,86411.73257779269,1,Mid
IT,75870.42797182825,1,Mid
IT,82419.02664247475,4,Mid
IT,79508.48209259858,1,Mid
Management,72424.89519112825,5,Senior
Management,91477.27314077728,3,Mid
Management,72374.51192559785,4,Mid
Management,86958.13679395909,1,Entry
Management,83979.28310871593,1,Entry
Management,85493.60254277833,4,Senior
Management,73809.17040333139,4,Mid
Management,82637.08189697812,5,Mid
Management,79410.7559503008,2,Mid
Management,69233.21914322335,4,Entry
Management,61457.866095558005,1,Mid
Management,87138.97047362979,5,Mid
Management,63759.18900082697,3,Senior
Management,70360.31379746989,5,Entry
Management,115269.84508583977,5,Mid
Management,87107.54273689834,4,Mid
Management,72715.5303225878,1,Mid
Management,65389.74544938341,3,Entry
Management,80468.42216033186,3,Entry
Management,64797.397854780735,1,Mid
Management,69827.28349603502,3,Mid
Management,64749.548087957286,1,Entry
Management,59340.54056172101,3,Senior
Management,83892.48923888983,3,Entry
Management,62784.02718830515,3,Mid
Management,97512.64545420567,3,Senior
Management,71758.43443225021,1,Senior
Management,59752.13456726096,3,Entry
Management,58139.60722904088,3,Entry
Management,83447.68046826676,4,Senior
Management,68969.93075491919,3,Entry
Management,85818.39815623107,5,Mid
Management,75187.57486538136,1,Senior
Management,78912.08280996447,2,Mid
Management,64398.528155213906,2,Mid
Management,80449.30914515983,5,Entry
Management,64526.07226872911,3,Mid
Management,76862.6352711692,2,Entry
Management,96137.67590403883,1,Entry
Management,67688.57681235096,1,Mid
Management,70099.8215113652,5,Senior
Management,69854.06184921505,4,Mid
Management,117917.04851450527,2,Senior
Management,79474.06656901482,5,Mid
Management,71339.57471743299,5,Senior
Management,79420.78879353452,1,Entry
Management,80595.3182059681,3,Mid
Management,75960.9100527927,5,Mid
Management,64125.182412648006,5,Mid
Management,70086.34630426328,5,Entry
Management,92775.29456928617,2,Mid
Management,55945.36909674667,5,Mid
Management,70814.92079931055,3,Mid
Management,76528.68128824372,4,Senior
Management,61490.70610158043,4,Mid
Management,84872.88260976625,2,Entry
Management,71570.9535652655,5,Entry
Management,72040.2698825814,3,Mid
Management,94581.0363939775,4,Mid
Management,51307.418743690905,3,Entry
Management,83850.07141656707,2,Mid
Management,113105.86646522151,1,Mid
Management,88432.88306125462,3,Entry
Management,48894.48261578272,5,Entry
Management,75293.99424866443,2,Mid
Management,62963.54940202745,4,Entry
Management,83658.72558563294,4,Senior
Management,65086.58494520726,5,Mid
Management,64714.87623614805,5,Entry
Management,87304.47561763447,4,Mid
Management,82495.28754207234,3,Entry
Management,93897.84286354687,5,Senior
Management,64466.16826577459,2,Senior
Management,72035.27574599779,3,Entry
Management,67038.51167769964,1,Mid
Management,59200.40511231806,5,Senior
Management,73377.91514412875,5,Senior
Management,91681.50928832009,5,Mid
Management,51633.01955293467,3,Mid
Management,63978.51457888822,5,Mid
Management,78275.83481316261,3,Entry
Management,94332.95137809453,2,Senior
Management,85932.27956489455,4,Senior
Management,83888.32961893153,2,Mid
Management,77381.34076406315,4,Senior
Management,92340.10004176691,3,Entry
Management,65221.34946921545,1,Senior
Management,75673.09853489553,1,Mid
Management,89696.50825412046,1,Mid
Management,94872.42632985138,3,Entry
Management,44486.267107336156,2,Mid
Management,56366.26152796316,2,Entry
Management,81021.96212800492,3,Mid
Management,53212.52404368454,5,Mid
Management,103339.8393297082,4,Mid
Management,85348.46119886918,1,Mid
Management,47050.28402544008,5,Senior
Management,90265.9481416472,5,Mid
Management,77042.62012121743,2,Mid
Management,85577.59982864576,5,Entry
Management,39323.52510190007,1,Mid
Management,77889.77298972037,4,Mid
Management,58646.47379721374,4,Senior
Management,72866.27357040321,3,Mid
Management,78492.90917946864,4,Entry
Management,57973.43218176432,3,Mid
Management,88715.03396472038,5,Mid
Management,58951.10931653791,1,Entry
Management,74686.96105406682,4,Entry
Management,48843.904455750555,3,Mid
Management,88471.58090229925,3,Entry
Management,93123.70010315336,1,Mid
Management,83438.93922642604,1,Mid
Management,51909.42020757841,1,Mid
Management,63758.7601956454,3,Mid
Management,80066.49148581902,1,Senior
Management,62983.60236656481,1,Entry
Management,84501.98685597931,5,Senior
Management,70841.95326987476,3,Senior
